objectid;globalid;intro;logo;municipio;regional;data_acao;tipo_acao;acao_presencial;transitolandia_fixa_movel;carga_horaria;aperfeicoamento_curso_palestra;estagio_instituicao_ensino;categoria_escola_professor;numero_veiculos_passeio_blitz;n_veiculos_passageiros_blitz;n_veiculos_carga_blitz;numero_veiculos_moto_blitz;nome_palestrante;descricao_acao;n_pessoas_orientadas_educadas;qtd_material_distribuido;created_date;created_user;last_edited_date;last_edited_user;descricao_survey;x;y
37;{1297C1D9-866C-48C8-88A0-6BF1C3602492};;;Uberaba;25ª URG - Uberaba;27/01/2026 15:00;comando_educativo(blitz);;;;;;;0;1;0;0;;Ação educativa em Terminal Rodoviário: Crianças muito atenção nas ruas e estradas. Terminal Rodoviário Uberaba.;14;14;18/03/2026 17:09;do_dermg;18/03/2026 17:09;do_dermg;;-47,94518697;-19,76298999
31;{50EA0056-C1B2-415A-8B99-7981AF4098C4};;;Morada Nova de Minas;35ª URG - Abaeté;14/01/2026 15:00;comando_educativo(blitz);;;;;;;0;0;0;0;;Ação educativa em Terminal Rodoviário: Direção e Álcool mistura fatal / Cinto de Segurança. Terminal Rodoviário Morada Nova de Minas.;12;12;18/03/2026 13:19;do_dermg;18/03/2026 13:19;do_dermg;;-45,35316921;-18,6101685
34;{55539016-F38B-460D-8302-BAC79D2DBCFC};;;Uberaba;25ª URG - Uberaba;07/01/2026 15:00;comando_educativo(blitz);;;;;;;0;1;0;0;;Ação educativa em Terminal Rodoviário: Vai viajar de ônibus, não esqueça do cinto de segurança. Terminal Rodoviário Uberaba.;15;15;18/03/2026 17:03;do_dermg;18/03/2026 17:03;do_dermg;;-47,94518697;-19,76298999
36;{5AA804CC-296E-4325-8748-B0E4D6A419EC};;;Uberaba;25ª URG - Uberaba;22/01/2026 15:00;comando_educativo(blitz);;;;;;;0;1;0;0;;Ação educativa em Terminal Rodoviário: Vai viajar de ônibus, não esqueça do cinto de segurança. Terminal Rodoviário Uberaba.;12;12;18/03/2026 17:07;do_dermg;18/03/2026 17:07;do_dermg;;-47,94518697;-19,76298999
30;{7150CBF1-18A5-42B6-8E80-6DAF3213A621};;;Bom Despacho;35ª URG - Abaeté;09/01/2026 15:00;comando_educativo(blitz);;;;;;;0;0;0;0;;Ação educativa em Terminal Rodoviário: Direção e Álcool mistura fatal / Cinto de Segurança. Terminal Rodoviário Bom Despacho. ;48;48;16/03/2026 18:32;do_dermg;16/03/2026 18:32;do_dermg;;-45,25453315;-19,7342054
35;{72929B91-A3BB-4F6A-82D1-460D65708032};;;Uberaba;25ª URG - Uberaba;13/01/2026 15:00;comando_educativo(blitz);;;;;;;0;15;0;0;;Ação educativa em Terminal Rodoviário: Crianças muito atenção nas ruas e estradas. Terminal Rodoviário Uberaba.;15;15;18/03/2026 17:05;do_dermg;18/03/2026 17:05;do_dermg;;-47,94518697;-19,76298999
38;{847D2282-A904-494D-8392-D09D43E4AB2F};;;Poços de Caldas;15ª URG - Poços de Caldas;26/01/2026 15:00;comando_educativo(blitz);;;;;;;35;1;21;1;;Comando educativo: Ser um motorista consciente faz toda diferença. MGC 267 / km 536 ;135;135;18/03/2026 17:20;do_dermg;18/03/2026 17:20;do_dermg;;-46,60220935;-21,73095459
33;{A57F61C4-4B8D-407D-83EC-93B5A692B033};;;Martinho Campos;35ª URG - Abaeté;27/01/2026 15:00;comando_educativo(blitz);;;;;;;0;0;0;0;;Ação educativa em Terminal Rodoviário: Direção e Álcool mistura fatal / Cinto de Segurança. Terminal Rodoviário Martinho Campos.;32;32;18/03/2026 14:09;do_dermg;18/03/2026 14:09;do_dermg;;-45,2361553;-19,3288977
32;{ACDE598E-68A2-4805-8EEE-9F668A60EFF8};;;Abaeté;35ª URG - Abaeté;21/01/2026 15:00;comando_educativo(blitz);;;;;;;0;0;0;0;;Ação educativa em Terminal Rodoviário: Direção e Álcool mistura fatal / Cinto de Segurança. Terminal Rodoviário Abaeté.;18;18;18/03/2026 13:37;do_dermg;18/03/2026 13:37;do_dermg;;-45,44211004;-19,15617714
39;{B9DF3369-356B-45F9-85C7-4503819E327D};;;Arcos;20ª URG - Formiga;14/01/2026 15:00;comando_educativo(blitz);;;;;;;0;6;57;0;;Comando educativo: SEGURANÇA E COMPORTAMENTO NA ESTRADA - VEÍCULO DE CARGA. MG 170 KM 56 (BALANÇA DE ARCOS).;63;63;18/03/2026 17:42;do_dermg;18/03/2026 17:42;do_dermg;;-45,55244958;-20,28017076
